                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1721,                0.72472,                 1.1115,                0.86975,                0.74074,                0.80634,                0.52255,                 1.2692,                0.67737,                 1.1593,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1839,                0.73391,                 1.1196,                0.92974,                0.73354,                0.82326,                0.54436,                 1.2042,                0.63338,                 1.1295,               0.001109,               0.001109,               0.001109
                     47,                 1.1761,                0.72488,                 1.1162,                0.89367,                 0.7284,                 0.8057,                0.52231,                 1.2461,                0.67169,                 1.1443,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1623,                0.71456,                 1.1093,                0.91086,                0.73592,                0.81448,                 0.5383,                 1.2138,                0.65335,                 1.1274,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1614,                0.71077,                 1.1079,                0.90659,                0.74588,                0.82325,                0.54173,                 1.2197,                0.63094,                 1.1364,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1604,                0.71255,                 1.1087,                0.90191,                0.75203,                0.82428,                0.54547,                 1.2139,                0.64289,                 1.1303,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1432,                0.69542,                 1.1036,                0.90245,                0.74486,                0.82327,                0.54605,                 1.1849,                0.61273,                 1.1323,                0.00101,                0.00101,                0.00101
                     52,                 1.1353,                0.70084,                 1.1036,                0.90473,                0.75257,                0.82793,                0.54965,                  1.196,                0.61793,                 1.1262,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1443,                0.69671,                 1.1008,                0.91645,                0.74331,                0.82225,                0.54577,                 1.2194,                0.62652,                 1.1257,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1286,                0.68805,                 1.0997,                0.90908,                0.75154,                0.82447,                0.55376,                 1.1769,                0.62687,                 1.1216,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1305,                0.68807,                 1.0938,                0.90896,                0.75206,                0.82773,                0.55862,                 1.1792,                0.60124,                 1.1157,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1237,                0.68074,                 1.0906,                0.90909,                0.75051,                0.82948,                0.55726,                 1.1887,                0.60576,                 1.1199,               0.000911,               0.000911,               0.000911
                     57,                 1.1303,                0.68406,                 1.0938,                0.90831,                0.76337,                0.83375,                 0.5577,                  1.189,                0.60942,                 1.1203,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1053,                0.67198,                 1.0834,                0.91642,                0.75154,                0.83056,                0.55453,                 1.1802,                0.60229,                 1.1173,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1029,                0.67036,                 1.0818,                0.91678,                 0.7644,                0.83329,                0.56182,                 1.1734,                0.58289,                 1.1134,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0977,                0.66701,                 1.0812,                0.90316,                0.76492,                0.83522,                0.56162,                 1.1712,                0.60151,                 1.1106,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0884,                0.65714,                 1.0812,                0.91536,                0.77058,                0.83926,                0.55954,                 1.1812,                0.59554,                 1.1229,               0.000812,               0.000812,               0.000812
                     62,                 1.0925,                 0.6518,                 1.0786,                0.91249,                0.76169,                0.83475,                0.56845,                 1.1705,                0.57771,                 1.1149,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0832,                0.64755,                 1.0737,                0.90096,                0.77677,                 0.8373,                0.56311,                 1.1831,                0.58087,                 1.1103,              0.0007724,              0.0007724,              0.0007724
                     64,                   1.09,                0.65673,                 1.0773,                0.91551,                0.76921,                0.83946,                0.57082,                 1.1558,                0.57009,                  1.105,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0851,                 0.6421,                 1.0791,                0.92435,                0.76646,                0.83946,                0.56642,                 1.1682,                0.57642,                 1.1087,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0739,                0.63743,                 1.0704,                0.90252,                0.78582,                0.84539,                0.57826,                  1.129,                0.55821,                 1.0901,               0.000713,               0.000713,               0.000713
                     67,                 1.0678,                0.64111,                 1.0708,                 0.8979,                0.78712,                0.84315,                0.58052,                 1.1242,                0.55729,                 1.0864,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0624,                0.63985,                 1.0708,                0.89787,                0.77932,                0.83759,                0.57834,                 1.1311,                0.55674,                 1.0933,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0612,                0.62441,                   1.07,                0.90249,                0.78755,                0.84097,                0.57873,                 1.1345,                0.55112,                 1.1022,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0605,                0.63134,                 1.0677,                0.91973,                0.77803,                0.84146,                0.57949,                 1.1182,                0.54957,                 1.0843,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0525,                0.62617,                 1.0639,                0.90071,                0.78549,                0.84195,                 0.5816,                 1.1163,                0.55455,                 1.0853,               0.000614,               0.000614,               0.000614
                     72,                 1.0573,                  0.625,                 1.0609,                0.90798,                0.77829,                 0.8417,                0.57486,                 1.1442,                0.55915,                 1.0984,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0446,                0.61255,                 1.0579,                 0.9185,                0.78755,                0.84401,                0.57755,                 1.1372,                0.55912,                 1.1025,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0407,                0.61474,                 1.0603,                0.93459,                 0.7791,                 0.8444,                0.58091,                 1.1406,                 0.5408,                 1.0947,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0207,                0.60135,                 1.0496,                0.92854,                  0.768,                0.84789,                0.58938,                 1.1211,                0.54112,                 1.0838,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0244,                0.59454,                 1.0518,                0.92474,                0.78344,                0.84389,                0.58791,                 1.1107,                0.53918,                 1.0825,               0.000515,               0.000515,               0.000515
                     77,                 1.0062,                0.58617,                 1.0492,                0.91578,                0.79167,                0.84774,                0.58621,                 1.1186,                0.53907,                 1.0827,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0234,                0.60052,                 1.0531,                0.92495,                0.77469,                0.84288,                0.59118,                 1.1084,                0.53929,                 1.0804,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0097,                0.59651,                 1.0516,                0.93276,                0.77778,                0.85033,                0.59465,                 1.0989,                0.53249,                 1.0776,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0107,                0.59316,                 1.0457,                 0.9137,                0.78975,                0.84701,                0.59325,                 1.1098,                0.53189,                 1.0891,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0102,                0.58357,                  1.046,                 0.9113,                0.78213,                0.84558,                0.59193,                  1.097,                0.52544,                 1.0829,               0.000416,               0.000416,               0.000416
                     82,                 1.0101,                0.58855,                 1.0506,                0.92151,                0.78344,                0.85191,                0.59544,                 1.0926,                0.53324,                 1.0729,              0.0003962,              0.0003962,              0.0003962
                     83,                0.99905,                 0.5831,                 1.0427,                0.91947,                0.78447,                0.85364,                0.59977,                 1.0814,                0.52642,                 1.0708,              0.0003764,              0.0003764,              0.0003764
                     84,                0.98446,                0.57156,                  1.038,                0.92449,                0.79115,                0.85047,                0.59968,                  1.088,                0.52276,                 1.0734,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.9817,                0.57244,                  1.035,                0.92437,                0.78344,                0.85233,                0.60041,                 1.0817,                0.51782,                 1.0674,              0.0003368,              0.0003368,              0.0003368
                     86,                0.99333,                0.57518,                 1.0406,                0.92185,                0.78704,                0.85413,                0.59922,                 1.0834,                 0.5208,                 1.0698,               0.000317,               0.000317,               0.000317
                     87,                0.97761,                 0.5724,                 1.0309,                0.92253,                0.78652,                0.84864,                0.59555,                 1.0826,                 0.5227,                 1.0735,              0.0002972,              0.0002972,              0.0002972
                     88,                0.96979,                 0.5615,                 1.0339,                0.91506,                 0.7963,                0.85058,                0.60247,                 1.0741,                0.51211,                 1.0632,              0.0002774,              0.0002774,              0.0002774
                     89,                0.97341,                0.56403,                 1.0351,                0.91388,                0.79696,                0.85446,                0.60449,                 1.0731,                0.51064,                 1.0669,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96324,                0.55706,                 1.0289,                 0.9269,                0.78652,                 0.8526,                0.60514,                 1.0726,                0.51015,                 1.0658,              0.0002378,              0.0002378,              0.0002378
                     91,                0.87246,                0.47139,                0.98672,                0.91874,                0.78858,                0.85286,                0.60495,                 1.0755,                0.51231,                 1.0659,               0.000218,               0.000218,               0.000218
                     92,                0.83913,                 0.4376,                0.97286,                0.93295,                0.78086,                0.85106,                0.60416,                 1.0703,                0.51048,                 1.0698,              0.0001982,              0.0001982,              0.0001982
                     93,                0.84269,                0.43405,                0.97425,                0.92309,                0.79012,                0.85512,                0.60669,                 1.0671,                0.50817,                 1.0656,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.8244,                0.42534,                0.96706,                0.92692,                0.78755,                0.85609,                 0.6082,                 1.0698,                  0.505,                 1.0691,              0.0001586,              0.0001586,              0.0001586
                     95,                0.81848,                0.41894,                0.96303,                0.92513,                0.78601,                0.85508,                 0.6104,                 1.0587,                0.50097,                 1.0624,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.8055,                 0.4153,                0.96185,                0.91081,                0.80247,                0.85718,                0.61162,                  1.059,                0.49933,                 1.0628,               0.000119,               0.000119,               0.000119
                     97,                0.80434,                0.41256,                  0.962,                0.92826,                0.79205,                0.85738,                0.61248,                 1.0557,                 0.5008,                 1.0621,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.80562,                0.41684,                0.96188,                0.91458,                0.79733,                0.85572,                0.61377,                 1.0527,                0.49849,                 1.0599,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  0.797,                0.41078,                0.95468,                0.91049,                0.80055,                0.85887,                0.61462,                 1.0521,                 0.4958,                 1.0604,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.79272,                0.40513,                0.95547,                0.94855,                0.77773,                0.85945,                0.61541,                  1.052,                0.49421,                 1.0596,               3.98e-05,               3.98e-05,               3.98e-05
